Issue key,Issue id,Summary,Status,Custom field (Requirement Priority)
LVV-9989,299920,DMS-NB-REQ-0026-V-01: System Health Monitoring_1,Covered,
LVV-9990,307098,DMS-NB-REQ-0032-V-01: Image Visualization_1,Verified,
LVV-9991,299922,DMS-NB-REQ-0033-V-01: Scientific Plotting_1,Covered,
LVV-9992,299926,DMS-NB-REQ-0035-V-01: Visualization Interactivity_1,Covered,
LVV-9993,299928,DMS-NB-REQ-0034-V-01: Visualization Linkage_1,Covered,
LVV-9994,299932,DMS-NB-REQ-0036-V-01: Visualization Scaling_1,Covered,
LVV-9995,307094,DMS-NB-REQ-0030-V-01: Access to Portal Visualization API_1,Verified,
LVV-9996,307100,DMS-NB-REQ-0029-V-01: Access to Portal-Initiated Queries_1,Verified,
LVV-9997,299930,DMS-NB-REQ-0031-V-01: Notebook-Launching Interface_1,Covered,
LVV-9998,305494,DMS-NB-REQ-0002-V-01: Authentication and Authorization_1,In Verification,
LVV-9999,299935,DMS-NB-REQ-0003-V-01: Secure Implementation_1,Covered,
LVV-10000,307096,DMS-NB-REQ-0001-V-01: Secure Protocol_1,Verified,
LVV-10001,300222,DMS-NB-REQ-0004-V-01: IPV6 Access_1,Covered,
LVV-10002,305492,DMS-API-REQ-0023-V-01: Access to Catalog Data Products_1,In Verification,
LVV-10003,305496,DMS-API-REQ-0022-V-01: Access to Image and Visit Metadata_1,In Verification,
LVV-10004,299937,DMS-API-REQ-0028-V-01: Access to Image Data in FITS Format_1,Covered,
LVV-10005,299939,DMS-API-REQ-0024-V-01: Access to Observatory Metadata_1,Covered,
LVV-10006,300200,DMS-API-REQ-0026-V-01: Access to Reference Catalogs_1,Covered,
LVV-10007,300203,DMS-API-REQ-0027-V-01: Access to Virtual Data Products_1,Covered,
LVV-10008,300209,DMS-API-REQ-0030-V-01: Catalog Metadata Service_1,Covered,
LVV-10009,300206,DMS-API-REQ-0025-V-01: Enforcement of Information Classification_1,Covered,
LVV-10010,300215,DMS-API-REQ-0029-V-01: Multiple Data Releases_1,Covered,
LVV-10011,300220,DMS-API-REQ-0021-V-01: Use of CAOM2_1,Covered,
LVV-10012,307102,DMS-API-REQ-0009-V-01: ADQL Support_1,Verified,
LVV-10013,307110,DMS-API-REQ-0008-V-01: Asynchronous TAP Support_1,Verified,
LVV-10014,307114,DMS-API-REQ-0007-V-01: Synchronous TAP Support_1,Verified,
LVV-10015,307104,DMS-API-REQ-0006-V-01: TAP Service for Tabular Queries_1,Verified,
LVV-10016,300218,DMS-API-REQ-0016-V-01: SIA Service for Image Availability_1,Covered,
LVV-10017,300212,DMS-API-REQ-0018-V-01: Cutout Service_1,Covered,
LVV-10018,300225,DMS-API-REQ-0017-V-01: SODA Service for Image Data_1,Covered,
LVV-10019,307116,DMS-API-REQ-0039-V-01: Cached Query Result Retrieval_1,Verified,
LVV-10020,300228,DMS-API-REQ-0038-V-01: Query History Retrieval_1,Covered,
LVV-10021,300243,DMS-API-REQ-0040-V-01: Query Specification Retrieval_1,Covered,
LVV-10022,300231,DMS-API-REQ-0034-V-01: Butler Interface to Data Products_1,Covered,
LVV-10023,300234,DMS-API-REQ-0019-V-01: VOSpace Service_1,Covered,
LVV-10024,300237,DMS-API-REQ-0020-V-01: WebDAV Service_1,Covered,
LVV-10025,300239,DMS-API-REQ-0014-V-01: CSV Output for TAP_1,Covered,
LVV-10026,300241,DMS-API-REQ-0013-V-01: JSON Output for TAP_1,Covered,
LVV-10027,300256,DMS-API-REQ-0015-V-01: SQLite Output for TAP_1,Covered,
LVV-10028,300245,DMS-API-REQ-0012-V-01: VOTable BINARY2 Payload_1,Covered,
LVV-10029,300249,DMS-API-REQ-0010-V-01: VOTable Output for TAP_1,Covered,
LVV-10030,300259,DMS-API-REQ-0011-V-01: VOTable TABLEDATA Payload_1,Covered,
LVV-10031,300253,DMS-API-REQ-0033-V-01: Deletion from Workspace_1,Covered,
LVV-10032,300247,DMS-API-REQ-0031-V-01: Tabular Result Download to Workspace_1,Covered,
LVV-10033,300268,DMS-API-REQ-0032-V-01: Tabular Upload to Workspace_1,Covered,
LVV-10034,305495,DMS-API-REQ-0003-V-01: Authentication_1,In Verification,
LVV-10035,307108,DMS-API-REQ-0004-V-01: Authorization_1,Verified,
LVV-10036,300264,DMS-API-REQ-0005-V-01: Secure Implementation_1,Covered,
LVV-10037,305497,DMS-API-REQ-0001-V-01: Secure Protocols_1,In Verification,
LVV-10038,300277,DMS-API-REQ-0035-V-01: Containerized Deployment_1,Covered,
LVV-10039,300272,DMS-API-REQ-0037-V-01: Logging and Monitoring_1,Covered,
LVV-10040,300284,DMS-API-REQ-0002-V-01: Result Compression_1,Covered,
LVV-10041,300281,DMS-API-REQ-0036-V-01: Upgradability_1,Covered,
LVV-20546,302305,DMS-PRTL-REQ-0098-V-02: Overlay Catalog of Sources and Objects on Images_2,Not Covered,
